Year,DOY,hour,minute,Global Horiz [W/m^2]
2017,144,1,2,-1.0998
2017,144,1,3,-1.106
2017,144,1,4,-1.1091
2017,144,1,5,-1.1091
2017,144,1,6,-1.1091
2017,144,1,7,-1.1091
2017,144,1,8,-1.1091
2017,144,1,9,-1.1091
2017,144,1,10,-1.0844
2017,144,1,11,-1.0875
2017,144,1,12,-1.0659
2017,144,1,13,-1.0659
2017,144,1,14,-1.0721
2017,144,1,15,-1.0197
2017,144,1,16,-0.8626
2017,144,1,17,-0.78558
2017,144,1,18,-0.93345
2017,144,1,19,-1.0567
2017,144,1,20,-1.0937
2017,144,1,21,-1.0567
2017,144,1,22,-0.84103
2017,144,1,23,-0.77326
2017,144,1,24,-0.74245
2017,144,1,25,-0.73937
2017,144,1,26,-0.73937
2017,144,1,27,-0.73937
2017,144,1,28,-0.73937
2017,144,1,29,-0.73937
2017,144,1,30,-0.75169
2017,144,1,31,-0.80099
2017,144,1,32,-0.74245
2017,144,1,33,-0.73937
2017,144,1,34,-0.73937
2017,144,1,35,-0.73937
2017,144,1,36,-0.73937
2017,144,1,37,-0.83179
2017,144,1,38,-1.0136
2017,144,1,39,-1.0628
2017,144,1,40,-1.0844
2017,144,1,41,-1.0967
2017,144,1,42,-1.0937
2017,144,1,43,-1.1091
2017,144,1,44,-1.106
2017,144,1,45,-1.0937
2017,144,1,46,-1.1091
2017,144,1,47,-1.1091
2017,144,1,48,-1.1091
2017,144,1,49,-1.1091
2017,144,1,50,-1.106
2017,144,1,51,-1.106
2017,144,1,52,-1.106
2017,144,1,53,-1.0937
2017,144,1,54,-1.0074
2017,144,1,55,-0.78558
2017,144,1,56,-0.73937
2017,144,1,57,-0.74553
2017,144,1,58,-0.85952
2017,144,1,59,-1.0136
2017,144,2,0,-1.0105
2017,144,2,1,-1.0567
2017,144,2,2,-1.0752
2017,144,2,3,-0.90265
2017,144,2,4,-0.90265
2017,144,2,5,-0.92113
2017,144,2,6,-0.97966
2017,144,2,7,-0.9735
2017,144,2,8,-0.86568
2017,144,2,9,-0.88108
2017,144,2,10,-1.0628
2017,144,2,11,-1.1091
2017,144,2,12,-1.106
2017,144,2,13,-0.9581
2017,144,2,14,-0.7979
2017,144,2,15,-0.95502
2017,144,2,16,-1.069
2017,144,2,17,-1.0659
2017,144,2,18,-0.83795
2017,144,2,19,-0.73937
2017,144,2,20,-0.73937
2017,144,2,21,-0.83487
2017,144,2,22,-1.069
2017,144,2,23,-1.0936
2017,144,2,24,-0.98274
2017,144,2,25,-0.88416
2017,144,2,26,-0.76401
2017,144,2,27,-0.74861
2017,144,2,28,-0.73936
2017,144,2,29,-0.73936
2017,144,2,30,-0.73936
2017,144,2,31,-0.73936
2017,144,2,32,-0.73936
2017,144,2,33,-0.66851
2017,144,2,34,-0.54836
2017,144,2,35,-0.67159
2017,144,2,36,-0.73937
2017,144,2,37,-0.80406
2017,144,2,38,-0.90881
2017,144,2,39,-1.0474
2017,144,2,40,-0.94885
2017,144,2,41,-0.77633
2017,144,2,42,-0.81638
2017,144,2,43,-0.7825
2017,144,2,44,-0.83795
2017,144,2,45,-1.0382
2017,144,2,46,-1.109
2017,144,2,47,-1.1091
2017,144,2,48,-1.1029
2017,144,2,49,-1.0967
2017,144,2,50,-0.91497
2017,144,2,51,-0.77017
2017,144,2,52,-0.82255
2017,144,2,53,-0.82254
2017,144,2,54,-0.81946
2017,144,2,55,-0.8133
2017,144,2,56,-0.79482
2017,144,2,57,-0.73937
2017,144,2,58,-0.73937
2017,144,2,59,-0.73937
2017,144,3,0,-0.85335
2017,144,3,1,-1.0967
2017,144,3,2,-1.109
2017,144,3,3,-1.109
2017,144,3,4,-1.106
2017,144,3,5,-1.109
2017,144,3,6,-1.2569
2017,144,3,7,-1.4787
2017,144,3,8,-1.4849
2017,144,3,9,-1.6821
2017,144,3,10,-1.8084
2017,144,3,11,-1.8484
2017,144,3,12,-1.8484
2017,144,3,13,-1.8484
2017,144,3,14,-1.8484
2017,144,3,15,-1.7991
2017,144,3,16,-1.5434
2017,144,3,17,-1.4294
2017,144,3,18,-1.1245
2017,144,3,19,-1.109
2017,144,3,20,-0.99814
2017,144,3,21,-0.77941
2017,144,3,22,-0.75169
2017,144,3,23,-0.74245
2017,144,3,24,-0.73629
2017,144,3,25,-0.49291
2017,144,3,26,-0.36968
2017,144,3,27,-0.45594
2017,144,3,28,-0.72704
2017,144,3,29,-0.75477
